@relation 'snake_game-weka.filters.unsupervised.instance.RemovePercentage-P20.0-weka.filters.unsupervised.attribute.Remove-R8,19-weka.filters.unsupervised.attribute.NumericToNominal-R17'

@attribute snake_pos_x numeric
@attribute snake_pos_y numeric
@attribute snake_body_length numeric
@attribute food_pos_x numeric
@attribute food_pos_y numeric
@attribute horizontal_distance numeric
@attribute vertical_distance numeric
@attribute body_parts numeric
@attribute left_safe {True,False}
@attribute right_safe {True,False}
@attribute up_safe {True,False}
@attribute down_safe {True,False}
@attribute left_distance numeric
@attribute right_distance numeric
@attribute up_distance numeric
@attribute down_distance numeric
@attribute New_direction {0,1,2,3}

@data
250,260,4,250,110,0,-150,4,True,True,True,False,480,480,480,10,2
250,250,4,250,110,0,-140,4,True,True,True,False,480,480,480,10,2
250,240,4,250,110,0,-130,4,True,True,True,False,480,480,480,10,2
250,230,4,250,110,0,-120,4,True,True,True,False,480,480,480,10,2
250,220,4,250,110,0,-110,4,True,True,True,False,480,480,480,10,2
250,210,4,250,110,0,-100,4,True,True,True,False,480,480,480,10,2
250,200,4,250,110,0,-90,4,True,True,True,False,480,480,480,10,2
250,190,4,250,110,0,-80,4,True,True,True,False,480,480,480,10,2
250,180,4,250,110,0,-70,4,True,True,True,False,480,480,480,10,2
250,170,4,250,110,0,-60,4,True,True,True,False,480,480,480,10,2
250,160,4,250,110,0,-50,4,True,True,True,False,480,480,480,10,2
250,150,4,250,110,0,-40,4,True,True,True,False,480,480,480,10,2
250,140,4,250,110,0,-30,4,True,True,True,False,480,480,480,10,2
250,130,4,250,110,0,-20,4,True,True,True,False,480,480,480,10,2
250,120,4,250,110,0,-10,4,True,True,True,False,480,480,480,10,2
250,110,5,410,380,160,270,5,True,True,True,False,480,480,480,10,2
250,100,5,410,380,160,280,5,True,True,True,False,480,480,480,10,2
250,90,5,410,380,160,290,5,True,False,True,False,480,480,480,10,0
240,90,5,410,380,170,290,5,True,False,True,True,480,10,480,480,0
230,90,5,410,380,180,290,5,True,False,True,True,480,10,480,480,0
220,90,5,410,380,190,290,5,True,False,True,True,480,10,480,480,0
210,90,5,410,380,200,290,5,True,False,True,True,480,10,480,480,0
200,90,5,410,380,210,290,5,True,False,False,True,480,10,480,480,3
200,100,5,410,380,210,280,5,True,True,False,True,480,480,10,480,3
200,110,5,410,380,210,270,5,True,True,False,True,480,480,10,480,3
200,120,5,410,380,210,260,5,True,True,False,True,480,480,10,480,3
200,130,5,410,380,210,250,5,True,True,False,True,480,480,10,480,3
200,140,5,410,380,210,240,5,True,True,False,True,480,480,10,480,3
200,150,5,410,380,210,230,5,False,True,False,True,480,480,10,480,1
210,150,5,410,380,200,230,5,False,True,True,True,10,480,480,480,1
220,150,5,410,380,190,230,5,False,True,True,True,10,480,480,480,1
230,150,5,410,380,180,230,5,False,True,True,True,10,480,480,480,1
240,150,5,410,380,170,230,5,False,True,True,True,10,480,480,480,1
250,150,5,410,380,160,230,5,False,True,True,True,10,480,480,480,1
260,150,5,410,380,150,230,5,False,True,True,True,10,480,480,480,1
270,150,5,410,380,140,230,5,False,True,True,True,10,480,480,480,1
280,150,5,410,380,130,230,5,False,True,True,True,10,480,480,480,1
290,150,5,410,380,120,230,5,False,True,True,True,10,480,480,480,1
300,150,5,410,380,110,230,5,False,True,True,True,10,480,480,480,1
310,150,5,410,380,100,230,5,False,True,True,True,10,480,480,480,1
320,150,5,410,380,90,230,5,False,True,True,True,10,480,480,480,1
330,150,5,410,380,80,230,5,False,True,True,True,10,480,480,480,1
340,150,5,410,380,70,230,5,False,True,True,True,10,480,480,480,1
350,150,5,410,380,60,230,5,False,True,True,True,10,480,480,480,1
360,150,5,410,380,50,230,5,False,True,True,True,10,480,480,480,1
370,150,5,410,380,40,230,5,False,True,True,True,10,480,480,480,1
380,150,5,410,380,30,230,5,False,True,True,True,10,480,480,480,1
390,150,5,410,380,20,230,5,False,True,True,True,10,480,480,480,1
400,150,5,410,380,10,230,5,False,True,True,True,10,480,480,480,1
410,150,5,410,380,0,230,5,False,True,False,True,10,480,480,480,3
410,160,5,410,380,0,220,5,True,True,False,True,480,480,10,480,3
410,170,5,410,380,0,210,5,True,True,False,True,480,480,10,480,3
410,180,5,410,380,0,200,5,True,True,False,True,480,480,10,480,3
410,190,5,410,380,0,190,5,True,True,False,True,480,480,10,480,3
410,200,5,410,380,0,180,5,True,True,False,True,480,480,10,480,3
410,210,5,410,380,0,170,5,True,True,False,True,480,480,10,480,3
410,220,5,410,380,0,160,5,True,True,False,True,480,480,10,480,3
410,230,5,410,380,0,150,5,True,True,False,True,480,480,10,480,3
410,240,5,410,380,0,140,5,True,True,False,True,480,480,10,480,3
410,250,5,410,380,0,130,5,True,True,False,True,480,480,10,480,3
410,260,5,410,380,0,120,5,True,True,False,True,480,480,10,480,3
410,270,5,410,380,0,110,5,True,True,False,True,480,480,10,480,3
410,280,5,410,380,0,100,5,True,True,False,True,480,480,10,480,3
410,290,5,410,380,0,90,5,True,True,False,True,480,480,10,480,3
410,300,5,410,380,0,80,5,True,True,False,True,480,480,10,480,3
410,310,5,410,380,0,70,5,True,True,False,True,480,480,10,480,3
410,320,5,410,380,0,60,5,True,True,False,True,480,480,10,480,3
410,330,5,410,380,0,50,5,True,True,False,True,480,480,10,480,3
410,340,5,410,380,0,40,5,True,True,False,True,480,480,10,480,3
410,350,5,410,380,0,30,5,True,True,False,True,480,480,10,480,3
410,360,5,410,380,0,20,5,True,True,False,True,480,480,10,480,3
410,370,5,410,380,0,10,5,True,True,False,True,480,480,10,480,3
410,380,6,250,380,-160,0,6,True,True,False,True,480,480,10,480,3
410,390,6,250,380,-160,-10,6,True,False,False,True,480,480,10,480,0
400,390,6,250,380,-150,-10,6,True,False,True,True,480,10,480,480,0
390,390,6,250,380,-140,-10,6,True,False,True,True,480,10,480,480,0
380,390,6,250,380,-130,-10,6,True,False,True,True,480,10,480,480,0
370,390,6,250,380,-120,-10,6,True,False,True,True,480,10,480,480,0
360,390,6,250,380,-110,-10,6,True,False,True,False,480,10,480,480,2
360,380,6,250,380,-110,0,6,True,True,True,False,480,480,480,10,2
360,370,6,250,380,-110,10,6,True,False,True,False,480,480,480,10,0
350,370,6,250,380,-100,10,6,True,False,True,True,480,10,480,480,0
340,370,6,250,380,-90,10,6,True,False,True,True,480,10,480,480,0
330,370,6,250,380,-80,10,6,True,False,True,True,480,10,480,480,0
320,370,6,250,380,-70,10,6,True,False,True,True,480,10,480,480,0
310,370,6,250,380,-60,10,6,True,False,False,True,480,10,480,480,3
310,380,6,250,380,-60,0,6,True,False,False,True,480,480,10,480,0
300,380,6,250,380,-50,0,6,True,False,True,True,480,10,480,480,0
290,380,6,250,380,-40,0,6,True,False,True,True,480,10,480,480,0
280,380,6,250,380,-30,0,6,True,False,True,True,480,10,480,480,0
270,380,6,250,380,-20,0,6,True,False,True,True,480,10,480,480,0
260,380,6,250,380,-10,0,6,True,False,True,True,480,10,480,480,0
250,380,7,210,330,-40,-50,7,True,False,True,True,480,10,480,480,0
240,380,7,210,330,-30,-50,7,True,False,True,True,480,10,480,480,0
230,380,7,210,330,-20,-50,7,True,False,True,True,480,10,480,480,0
220,380,7,210,330,-10,-50,7,True,False,True,False,480,10,480,480,2
220,370,7,210,330,-10,-40,7,True,True,True,False,480,480,480,10,2
220,360,7,210,330,-10,-30,7,True,True,True,False,480,480,480,10,2
220,350,7,210,330,-10,-20,7,True,True,True,False,480,480,480,10,2
220,340,7,210,330,-10,-10,7,True,True,True,False,480,480,480,10,2
220,330,7,210,330,-10,0,7,True,False,True,False,480,480,480,10,0
210,330,8,140,450,-70,120,8,True,False,True,True,480,10,480,480,0
200,330,8,140,450,-60,120,8,True,False,True,True,480,10,480,480,0
190,330,8,140,450,-50,120,8,True,False,True,True,480,10,480,480,0
180,330,8,140,450,-40,120,8,True,False,True,True,480,10,480,480,0
170,330,8,140,450,-30,120,8,True,False,True,True,480,10,480,480,0
160,330,8,140,450,-20,120,8,True,False,True,True,480,10,480,480,0
150,330,8,140,450,-10,120,8,True,False,True,True,480,10,480,480,0
140,330,8,140,450,0,120,8,True,False,True,True,480,10,480,480,0
130,330,8,140,450,10,120,8,True,False,False,True,480,10,480,480,3
130,340,8,140,450,10,110,8,True,True,False,True,480,480,10,480,3
130,350,8,140,450,10,100,8,True,True,False,True,480,480,10,480,3
130,360,8,140,450,10,90,8,True,True,False,True,480,480,10,480,3
130,370,8,140,450,10,80,8,False,True,False,True,480,480,10,480,1
140,370,8,140,450,0,80,8,False,True,True,True,10,480,40,480,1
150,370,8,140,450,-10,80,8,False,True,False,True,10,480,480,480,3
150,380,8,140,450,-10,70,8,True,True,False,True,480,480,10,480,3
150,390,8,140,450,-10,60,8,True,True,False,True,480,480,10,480,3
150,400,8,140,450,-10,50,8,True,True,False,True,480,480,10,480,3
150,410,8,140,450,-10,40,8,True,True,False,True,480,480,10,480,3
150,420,8,140,450,-10,30,8,True,True,False,True,480,480,10,480,3
150,430,8,140,450,-10,20,8,True,True,False,True,480,480,10,480,3
150,440,8,140,450,-10,10,8,True,True,False,True,480,480,10,480,3
150,450,8,140,450,-10,0,8,True,False,False,True,480,480,10,480,0
140,450,9,250,320,110,-130,9,True,False,True,True,480,10,480,480,0
130,450,9,250,320,120,-130,9,True,False,True,True,480,10,480,480,0
120,450,9,250,320,130,-130,9,True,False,True,True,480,10,480,480,0
110,450,9,250,320,140,-130,9,True,False,True,True,480,10,480,480,0
100,450,9,250,320,150,-130,9,True,False,True,False,480,10,480,480,2
100,440,9,250,320,150,-120,9,True,True,True,False,480,50,480,10,2
100,430,9,250,320,150,-110,9,True,True,True,False,480,480,480,10,2
100,420,9,250,320,150,-100,9,True,True,True,False,480,480,480,10,2
100,410,9,250,320,150,-90,9,True,True,True,False,480,480,480,10,2
100,400,9,250,320,150,-80,9,True,True,True,False,480,480,480,10,2
100,390,9,250,320,150,-70,9,True,True,True,False,480,480,480,10,2
100,380,9,250,320,150,-60,9,True,True,True,False,480,480,480,10,2
100,370,9,250,320,150,-50,9,True,True,True,False,480,480,480,10,2
100,360,9,250,320,150,-40,9,True,True,True,False,480,480,480,10,2
100,350,9,250,320,150,-30,9,True,True,True,False,480,480,480,10,2
100,340,9,250,320,150,-20,9,True,True,True,False,480,480,480,10,2
100,330,9,250,320,150,-10,9,True,True,True,False,480,480,480,10,2
100,320,9,250,320,150,0,9,False,True,True,False,480,480,480,10,1
110,320,9,250,320,140,0,9,False,True,True,True,10,480,480,480,1
120,320,9,250,320,130,0,9,False,True,True,True,10,480,480,480,1
130,320,9,250,320,120,0,9,False,True,True,True,10,480,480,480,1
140,320,9,250,320,110,0,9,False,True,True,True,10,480,480,480,1
150,320,9,250,320,100,0,9,False,True,True,True,10,480,480,480,1
160,320,9,250,320,90,0,9,False,True,True,True,10,480,480,480,1
170,320,9,250,320,80,0,9,False,True,True,True,10,480,480,480,1
180,320,9,250,320,70,0,9,False,True,True,True,10,480,480,480,1
190,320,9,250,320,60,0,9,False,True,True,True,10,480,480,480,1
200,320,9,250,320,50,0,9,False,True,True,True,10,480,480,480,1
210,320,9,250,320,40,0,9,False,True,True,True,10,480,480,480,1
220,320,9,250,320,30,0,9,False,True,True,True,10,480,480,480,1
230,320,9,250,320,20,0,9,False,True,True,True,10,480,480,480,1
240,320,9,250,320,10,0,9,False,True,True,True,10,480,480,480,1
250,320,10,400,20,150,-300,10,False,True,True,True,10,480,480,480,1
260,320,10,400,20,140,-300,10,False,True,True,True,10,480,480,480,1
270,320,10,400,20,130,-300,10,False,True,True,True,10,480,480,480,1
280,320,10,400,20,120,-300,10,False,True,True,True,10,480,480,480,1
290,320,10,400,20,110,-300,10,False,True,True,True,10,480,480,480,1
300,320,10,400,20,100,-300,10,False,True,True,True,10,480,480,480,1
310,320,10,400,20,90,-300,10,False,True,True,True,10,480,480,480,1
320,320,10,400,20,80,-300,10,False,True,True,True,10,480,480,480,1
330,320,10,400,20,70,-300,10,False,True,True,True,10,480,480,480,1
340,320,10,400,20,60,-300,10,False,True,True,True,10,480,480,480,1
350,320,10,400,20,50,-300,10,False,True,True,True,10,480,480,480,1
360,320,10,400,20,40,-300,10,False,True,True,True,10,480,480,480,1
370,320,10,400,20,30,-300,10,False,True,True,True,10,480,480,480,1
380,320,10,400,20,20,-300,10,False,True,True,True,10,480,480,480,1
390,320,10,400,20,10,-300,10,False,True,True,True,10,480,480,480,1
400,320,10,400,20,0,-300,10,False,True,True,True,10,480,480,480,1
410,320,10,400,20,-10,-300,10,False,True,True,True,10,480,480,480,1
420,320,10,400,20,-20,-300,10,False,True,True,False,10,480,480,480,2
420,310,10,400,20,-20,-290,10,True,True,True,False,480,480,480,10,2
420,300,10,400,20,-20,-280,10,True,True,True,False,480,480,480,10,2
420,290,10,400,20,-20,-270,10,True,True,True,False,480,480,480,10,2
420,280,10,400,20,-20,-260,10,True,True,True,False,480,480,480,10,2
420,270,10,400,20,-20,-250,10,True,True,True,False,480,480,480,10,2
420,260,10,400,20,-20,-240,10,True,False,True,False,480,480,480,10,0
410,260,10,400,20,-10,-240,10,True,False,True,True,480,10,480,60,0
400,260,10,400,20,0,-240,10,True,False,True,False,480,10,480,480,2
400,250,10,400,20,0,-230,10,True,True,True,False,480,480,480,10,2
400,240,10,400,20,0,-220,10,True,True,True,False,480,480,480,10,2
400,230,10,400,20,0,-210,10,True,True,True,False,480,480,480,10,2
400,220,10,400,20,0,-200,10,True,True,True,False,480,480,480,10,2
