@RELATION snake_game

@ATTRIBUTE snake_pos_x numeric
@ATTRIBUTE snake_pos_y numeric
@ATTRIBUTE snake_body_length numeric
@ATTRIBUTE food_pos_x numeric
@ATTRIBUTE food_pos_y numeric
@ATTRIBUTE horizontal_distance numeric
@ATTRIBUTE vertical_distance numeric
@ATTRIBUTE score numeric
@ATTRIBUTE left_safe numeric
@ATTRIBUTE right_safe numeric
@ATTRIBUTE up_safe numeric
@ATTRIBUTE down_safe numeric
@ATTRIBUTE left_distance numeric
@ATTRIBUTE right_distance numeric
@ATTRIBUTE up_distance numeric
@ATTRIBUTE down_distance numeric
@ATTRIBUTE food_in_row numeric
@ATTRIBUTE food_in_col numeric
@ATTRIBUTE food_in_up numeric
@ATTRIBUTE food_in_down numeric
@ATTRIBUTE food_in_left numeric
@ATTRIBUTE food_in_right numeric
@attribute New_direction {'0','1','2','3'}

@DATA
130,290,8,450,90,320,-200,304,1,1,1,0,480,480,480,10,1,0,1,0,0,1,2
130,280,8,450,90,320,-190,303,1,1,1,0,480,480,480,10,1,0,1,0,0,1,2
130,270,8,450,90,320,-180,302,1,1,1,0,480,480,480,10,1,0,1,0,0,1,2
130,260,8,450,90,320,-170,301,1,1,1,0,480,480,480,10,1,0,1,0,0,1,2
130,250,8,450,90,320,-160,300,1,1,1,0,480,480,480,10,1,0,1,0,0,1,2
130,240,8,450,90,320,-150,299,1,1,1,0,480,480,480,10,1,0,1,0,0,1,2
130,230,8,450,90,320,-140,298,1,1,1,0,480,480,480,10,1,0,1,0,0,1,2
130,220,8,450,90,320,-130,297,1,1,1,0,480,480,480,10,1,0,1,0,0,1,2
130,210,8,450,90,320,-120,296,1,1,1,0,480,480,480,10,1,0,1,0,0,1,2
130,200,8,450,90,320,-110,295,1,1,1,0,480,480,480,10,1,0,1,0,0,1,2
130,190,8,450,90,320,-100,294,1,1,1,0,480,480,480,10,1,0,1,0,0,1,2
130,180,8,450,90,320,-90,293,1,1,1,0,480,480,480,10,1,0,1,0,0,1,2
130,170,8,450,90,320,-80,292,1,1,1,0,480,480,480,10,1,0,1,0,0,1,2
130,160,8,450,90,320,-70,291,1,1,1,0,480,480,480,10,1,0,1,0,0,1,2
130,150,8,450,90,320,-60,290,1,1,1,0,480,480,480,10,1,0,1,0,0,1,2
130,140,8,450,90,320,-50,289,1,1,1,0,480,480,480,10,1,0,1,0,0,1,2
130,130,8,450,90,320,-40,288,1,1,1,0,480,480,480,10,1,0,1,0,0,1,2
130,120,8,450,90,320,-30,287,1,1,1,0,480,480,480,10,1,0,1,0,0,1,2
130,110,8,450,90,320,-20,286,1,1,1,0,480,480,480,10,1,0,1,0,0,1,2
130,100,8,450,90,320,-10,285,1,1,1,0,480,480,480,10,1,0,1,0,0,1,2
130,90,8,450,90,320,0,284,0,1,1,0,480,480,480,10,1,0,0,0,0,1,1
140,90,8,450,90,310,0,283,0,1,1,1,10,480,480,480,1,0,0,0,0,1,1
150,90,8,450,90,300,0,282,0,1,1,1,10,480,480,480,1,0,0,0,0,1,1
160,90,8,450,90,290,0,281,0,1,1,1,10,480,480,480,1,0,0,0,0,1,1
170,90,8,450,90,280,0,280,0,1,1,1,10,480,480,480,1,0,0,0,0,1,1
180,90,8,450,90,270,0,279,0,1,1,1,10,480,480,480,1,0,0,0,0,1,1
190,90,8,450,90,260,0,278,0,1,1,1,10,480,480,480,1,0,0,0,0,1,1
200,90,8,450,90,250,0,277,0,1,1,1,10,480,480,480,1,0,0,0,0,1,1
210,90,8,450,90,240,0,276,0,1,1,1,10,480,480,480,1,0,0,0,0,1,1
220,90,8,450,90,230,0,275,0,1,1,1,10,480,480,480,1,0,0,0,0,1,1
230,90,8,450,90,220,0,274,0,1,1,1,10,480,480,480,1,0,0,0,0,1,1
240,90,8,450,90,210,0,273,0,1,1,1,10,480,480,480,1,0,0,0,0,1,1
250,90,8,450,90,200,0,272,0,1,1,1,10,480,480,480,1,0,0,0,0,1,1
260,90,8,450,90,190,0,271,0,1,1,1,10,480,480,480,1,0,0,0,0,1,1
270,90,8,450,90,180,0,270,0,1,1,1,10,480,480,480,1,0,0,0,0,1,1
280,90,8,450,90,170,0,269,0,1,1,1,10,480,480,480,1,0,0,0,0,1,1
290,90,8,450,90,160,0,268,0,1,1,1,10,480,480,480,1,0,0,0,0,1,1
300,90,8,450,90,150,0,267,0,1,1,1,10,480,480,480,1,0,0,0,0,1,1
310,90,8,450,90,140,0,266,0,1,1,1,10,480,480,480,1,0,0,0,0,1,1
320,90,8,450,90,130,0,265,0,1,1,1,10,480,480,480,1,0,0,0,0,1,1
330,90,8,450,90,120,0,264,0,1,1,1,10,480,480,480,1,0,0,0,0,1,1
340,90,8,450,90,110,0,263,0,1,1,1,10,480,480,480,1,0,0,0,0,1,1
350,90,8,450,90,100,0,262,0,1,1,1,10,480,480,480,1,0,0,0,0,1,1
360,90,8,450,90,90,0,261,0,1,1,1,10,480,480,480,1,0,0,0,0,1,1
370,90,8,450,90,80,0,260,0,1,1,1,10,480,480,480,1,0,0,0,0,1,1
380,90,8,450,90,70,0,259,0,1,1,1,10,480,480,480,1,0,0,0,0,1,1
390,90,8,450,90,60,0,258,0,1,1,1,10,480,480,480,1,0,0,0,0,1,1
400,90,8,450,90,50,0,257,0,1,1,1,10,480,480,480,1,0,0,0,0,1,1
410,90,8,450,90,40,0,256,0,1,1,1,10,480,480,480,1,0,0,0,0,1,1
420,90,8,450,90,30,0,255,0,1,1,1,10,480,480,480,1,0,0,0,0,1,1
430,90,8,450,90,20,0,254,0,1,1,1,10,480,480,480,1,0,0,0,0,1,1
440,90,8,450,90,10,0,253,0,1,1,1,10,480,480,480,1,0,0,0,0,1,1
450,90,9,60,100,-390,10,353,0,1,1,1,10,480,480,480,0,1,0,1,1,0,1
460,90,9,60,100,-400,10,352,0,1,0,1,10,480,480,480,0,1,0,1,1,0,3
460,100,9,60,100,-400,0,351,1,1,0,1,480,480,10,480,1,0,0,0,1,0,3
460,110,9,60,100,-400,-10,350,1,1,0,1,480,480,10,480,0,0,1,0,1,0,3
460,120,9,60,100,-400,-20,349,1,1,0,1,480,480,10,480,0,0,1,0,1,0,3
460,130,9,60,100,-400,-30,348,1,1,0,1,480,480,10,480,0,0,1,0,1,0,3
460,140,9,60,100,-400,-40,347,1,0,0,1,480,480,10,480,0,0,1,0,1,0,0
